player,mins,goals,assists,ga,wcs,fw,squad,ga90
Gianni Rivera,507,3,0.0,3.0,3,True,itItaly,0.5325443786982248
Gigi Riva,750,3,0.0,3.0,2,True,itItaly,0.36
Gilberto Alves,470,0,0.0,0.0,1,True,brBrazil,0.0
Gilberto Yearwood,268,0,0.0,0.0,1,True,hnHonduras,0.0
Giorgio Chinaglia,114,0,0.0,0.0,1,True,itItaly,0.0
Giovani dos Santos,668,1,0.0,1.0,3,True,mxMexico,0.1347305389221557
Giuseppe Galderisi,324,0,0.0,0.0,1,True,itItaly,0.0
Giuseppe Signori,390,0,0.0,0.0,1,True,itItaly,0.0
Gonzalo Higuaín,1041,5,1.0,6.0,3,True,arArgentina,0.5187319884726225
Gonzalo Pineda,290,0,0.0,0.0,1,True,mxMexico,0.0
Gonzalo Plata,269,0,0.0,0.0,1,True,ecEcuador,0.0
Gonçalo Guedes,243,0,1.0,1.0,1,True,ptPortugal,0.3703703703703704
Goran Vlaović,365,1,0.0,1.0,1,True,hrCroatia,0.24657534246575344
Gordon Durie,336,0,0.0,0.0,2,True,sctScotland,0.0
Graeme Sharp,90,0,0.0,0.0,1,True,sctScotland,0.0
Graham Zusi,257,0,2.0,2.0,1,True,usUnited States,0.7003891050583657
Grzegorz Lato,1800,10,0.0,10.0,3,True,plPoland,0.5
Guillermo Franco,382,0,0.0,0.0,2,True,mxMexico,0.0
Guillermo La Rosa,494,1,0.0,1.0,2,True,pePeru,0.18218623481781376
Guillermo Yávar,154,0,0.0,0.0,2,True,clChile,0.0
Gustavo Dezotti,151,0,0.0,0.0,1,True,arArgentina,0.0
Gustavo Moscoso,248,1,0.0,1.0,1,True,clChile,0.3629032258064516
Guy Saint-Vil,96,0,0.0,0.0,1,True,htHaiti,0.0
Gylfi Sigurðsson,270,1,0.0,1.0,1,True,isIceland,0.33333333333333337
Gyula Rákosi,360,0,0.0,0.0,1,True,huHungary,0.0
Gábor Pölöskei,270,2,0.0,2.0,1,True,huHungary,0.6666666666666667
Gérard Hausser,270,1,0.0,1.0,1,True,frFrance,0.33333333333333337
Gérard Soler,510,1,0.0,1.0,1,True,frFrance,0.1764705882352941
Gøran Sørloth,90,0,0.0,0.0,1,True,noNorway,0.0
Haji Wright,137,1,0.0,1.0,1,True,usUnited States,0.656934306569343
Hakan Yakin,235,0,0.0,0.0,2,True,chSwitzerland,0.0
Hakan Şükür,590,1,0.0,1.0,1,True,trTürkiye,0.15254237288135591
Hakim Ziyech,899,1,1.0,2.0,2,True,maMorocco,0.20022246941045607
Hamzah Idris,226,0,0.0,0.0,1,True,saSaudi Arabia,0.0
Hannes Löhr,351,0,0.0,0.0,1,True,deWest Germany,0.0
Hannes Reinmayr,90,0,0.0,0.0,1,True,atAustria,0.0
Hans Gillhaus,193,0,0.0,0.0,1,True,nlNetherlands,0.0
Hans Krankl,900,5,0.0,5.0,2,True,atAustria,0.5
Hans-Jürgen Kreische,136,0,0.0,0.0,1,True,Germany DR,0.0
Hao Haidong,236,0,0.0,0.0,1,True,cnChina PR,0.0
Haris Seferović,354,1,0.0,1.0,3,True,chSwitzerland,0.2542372881355932
Harry Kane,974,8,3.0,11.0,2,True,engEngland,1.0164271047227926
Harry Kewell,238,1,0.0,1.0,2,True,auAustralia,0.37815126050420167
Hassan Nader,90,1,0.0,1.0,1,True,maMorocco,1.0
Hassan Rowshan,113,1,0.0,1.0,1,True,irIR Iran,0.7964601769911505
Hassen Gabsi,132,0,0.0,0.0,1,True,tnTunisia,0.0
Hattan Bahebri,159,0,1.0,1.0,2,True,saSaudi Arabia,0.5660377358490566
Heimo Pfeifenberger,250,0,0.0,0.0,1,True,atAustria,0.0
Helmut Haller,524,6,0.0,6.0,2,True,deWest Germany,1.0305343511450382
Henri Camara,351,2,0.0,2.0,1,True,snSenegal,0.5128205128205129
Henrik Larsson,939,5,0.0,5.0,3,True,seSweden,0.4792332268370607
Henry Martín,146,1,0.0,1.0,1,True,mxMexico,0.6164383561643836
Herbert Zimmermann,142,0,0.0,0.0,1,True,deWest Germany,0.0
Hernán Crespo,432,4,0.0,4.0,3,True,arArgentina,0.8333333333333333
Hernán Medford,140,1,0.0,1.0,2,True,crCosta Rica,0.6428571428571428
Hillel Soudani,165,0,0.0,0.0,1,True,dzAlgeria,0.0
Hirving Lozano,567,1,1.0,2.0,2,True,mxMexico,0.31746031746031744
